"id","Population_per_1_km_2_of_inhabitable_area","Secondary_industry_ratio","Tertiary_industry_ratio","Total_population","Ratio_of_aged_population"
99,"1028.8",0.2362705662733518,0.6723559937402913,"12617","47.8"
1,"234.7",0.16901537432990377,0.7056196506259707,"525","55.5"
2,"385.8",0.19814368100707702,0.6511254532964839,"125","59.4"
3,"330.4",0.2508765119930099,0.6290865259952005,"123","59.4"
4,"730.9",0.2286889557456117,0.7051729848125151,"231","47.2"
5,"301.5",0.240186221050517,0.64742465316536435,"97","70.099999999999994"
6,"373.7",0.28442749965752634,0.6018356588926626,"108","60.6"
7,"437.7",0.29423738224312546,0.60208668380808406,"185","55.3"
8,"719.4",0.2853655785316317,0.6173519509039869,"286","50.3"
9,"648.4",0.3071883016984986,0.6005006385060101,"193","48.3"
10,"852",0.3083856075192017,0.6124981885183115,"194","51.3"
11,"2843.7",0.23068642801224112,0.6793621622614393,"735","43.5"
12,"1761",0.19443155839141316,0.723095310186587,"626","46.1"
13,"9792.9",0.15333440633395795,0.7213073175627275,"1392","35"
14,"6252.6",0.21036935895019115,0.7206207844744199,"920","40.4"
15,"490.1",0.2831904561551138,0.638895901265734,"222","57.6"
16,"566.5",0.33082423506835995,0.6209183076948773,"104","57.4"
17,"817.6",0.27378501417068735,0.6550227796200544,"114","51"
18,"712.9",0.30714308976899507,0.638015477153787,"77","53.9"
19,"849.8",0.2780579921431262,0.629291071245114,"81","53.6"
20,"635.20000000000005",0.284626025835156,0.6012029611351017,"205","57"
21,"898.6",0.32127951523551157,0.6178621067096098,"199","52.5"
22,"1325.4",0.3220919023308531,0.6094826486177549,"364","51.7"
23,"2527.1",0.3201170688306828,0.6131862985745832,"755","40.5"
24,"864.9",0.30972772989081926,0.6209736094035906,"178","51.3"
25,"1081.7",0.3258286429018136,0.6113608741312376,"141","43.2"
26,"2200.5",0.21554695655454892,0.6766489609229905,"258","49.2"
27,"6619.7",0.2217703840080685,0.6851295314156534,"881","45.6"
28,"1964.1",0.2495918218698364,0.6897228317045764,"547","49.7"
29,"1554.6",0.22621687220091466,0.715907436807951,"133","55.2"
30,"829.5",0.21700731598873635,0.6672527541621195,"93","59.9"
31,"617.20000000000005",0.21274005517486874,0.6685983803506274,"56","57.8"
32,"518.9",0.22458993451780498,0.6728222651125093,"67","64.2"
33,"851.8",0.2608408973093817,0.6444063578470169,"189","53.1"
34,"1213.3",0.25962539878255353,0.6765604144345817,"280","50.7"
35,"795.6",0.2558791383413303,0.6753059911477671,"136","63.4"
36,"720.6",0.23353047190775314,0.6529340402326002,"73","60.9"
37,"950.7",0.2512150829349334,0.6658676575852105,"96","57"
38,"800.3",0.23090016040675793,0.6479452843369258,"134","59.8"
39,"600.20000000000005",0.16621419383565034,0.6866558650373522,"70","65.599999999999994"
40,"1848.3",0.2016263733338657,0.7208697947513304,"510","47.4"
41,"610.20000000000005",0.23463266355789458,0.650311892881432,"82","53.7"
42,"792.2",0.1950993085504398,0.6993482924890632,"133","59.7"
43,"625.1",0.20568122293250163,0.6751432711982039,"175","55.9"
44,"630.9",0.22321927176120124,0.6652928499891059,"114","59.9"
45,"580",0.20619209953583328,0.6647772577569769,"107","59.2"
46,"483.6",0.19080327118610343,0.6972242672662514,"160","58.3"
47,"1242.9000000000001",0.13823490504278926,0.7349203064952157,"145","36.299999999999997"
