prefec_kanji2,prefecture,id,quarter_number,year_quarter,year,quarterly,pop_over15,yoy_diff2_unemployment_rate,job_seeker_total,job_seeker_total_rate,yoy_job_seeker_total_rate,yoy_diff2_job_seeker_total_rate
北海道,Hokkaido,1,241,2020q2,2020,q2,4665,0.8115411554634182,51742,1.9092988929889299,0.0013553146667322213,0.1176285770383858
青森県,Aomori-ken,2,241,2020q2,2020,q2,1103,0.1602691362735511,14261,2.097205882352941,-0.011725303591421987,0.0027085568769855684
岩手県,Iwate-ken,3,241,2020q2,2020,q2,1081,0.27930740566727796,13126,1.90231884057971,-0.007006840912399115,-0.13886458659013767
宮城県,Miyagi-ken,4,241,2020q2,2020,q2,2031,0.46568527948130134,22829,1.8118253968253968,-0.05860385595679718,0.01029218105974361
秋田県,Akita-ken,5,241,2020q2,2020,q2,863,0.4226354688894025,10052,1.9944444444444445,-0.013774733637747172,0.04047819192266289
山形県,Yamagata-ken,6,241,2020q2,2020,q2,947,0.36085671459104574,11488,1.9307563025210084,0.060490521790111274,0.044985543127237904
福島県,Fukushima-ken,7,241,2020q2,2020,q2,1623,0.30163895462787726,18400,1.8181818181818181,-0.056571633494710616,-0.04898590763834765
茨城県,Ibaraki-ken,8,241,2020q2,2020,q2,2510,-0.10647604230413954,22573,1.4676853055916774,0.07916917655941935,0.12172180350941919
栃木県,Tochigi-ken,9,241,2020q2,2020,q2,1693,-0.07221472858010358,20152,1.899340245051838,0.10270787835398942,0.12283608909059063
群馬県,Gumma-ken,10,241,2020q2,2020,q2,1706,-0.2619907116637914,16668,1.5904580152671755,0.18439166455627487,0.11566187223895597
埼玉県,Saitama-ken,11,241,2020q2,2020,q2,6485,0.6742021227355417,54586,1.3362545899632803,0.08963197616004992,0.08163659505790366
千葉県,Chiba-ken,12,241,2020q2,2020,q2,5526,0.6158295106641702,46291,1.3394386574074075,0.12015315058196463,0.16450998928942662
東京都,Tokyo-to,13,241,2020q2,2020,q2,12432,0.7482678473504523,127918,1.5231959990473922,0.09968067337689424,0.12965552177523687
神奈川県,Kanagawa-ken,14,241,2020q2,2020,q2,8123,1.1400638306049433,65970,1.2802251115854841,0.0889676496174503,0.10924306185392685
新潟県,Niigata-ken,15,241,2020q2,2020,q2,1956,0.0989506445132391,21759,1.7791496320523303,0.057802229454927856,0.07936024492204297
富山県,Toyama-ken,16,241,2020q2,2020,q2,920,0.18603269473404427,9129,1.5876521739130436,0.10559642478412368,0.14321322739226083
石川県,Ishikawa-ken,17,241,2020q2,2020,q2,994,0.008192332018502446,10751,1.7509771986970684,0.12532784804771757,0.06282969579346775
福井県,Fukui-ken,18,241,2020q2,2020,q2,668,-0.22070118351330414,6106,1.4167053364269142,0.051212378680435267,0.0455748655086754
山梨県,Yamanashi-ken,19,241,2020q2,2020,q2,713,0.06442191301243838,7769,1.7419282511210763,0.14021884941167473,0.08145403192813605
長野県,Nagano-ken,20,241,2020q2,2020,q2,1791,-0.23627581125061514,19855,1.7220294882914138,0.10760888743304475,0.048876308773509125
岐阜県,Gifu-ken,21,241,2020q2,2020,q2,1732,-0.16266588351841071,16610,1.4393414211438476,0.23434142114384748,0.21610806161782192
静岡県,Shizuoka-ken,22,241,2020q2,2020,q2,3188,-0.04358583382727543,34252,1.683144963144963,0.22098016548528476,0.17712505727260996
愛知県,Aichi-ken,23,241,2020q2,2020,q2,6566,0.046531790395102135,62364,1.46980909733679,0.23501723357141646,0.2018885387485747
三重県,Mie-ken,24,241,2020q2,2020,q2,1557,0.060948529114546623,14946,1.5313524590163934,0.1749472951633646,0.13357651076962584
滋賀県,Shiga-ken,25,241,2020q2,2020,q2,1220,-0.005097892093056888,13120,1.6523929471032748,0.14766148930276324,0.15126728395222933
京都府,Kyoto-fu,26,241,2020q2,2020,q2,2281,0.5090758033644023,25179,1.770675105485232,0.1475009481818612,0.17960322090913405
大阪府,Osaka-fu,27,241,2020q2,2020,q2,7773,1.0800332260316279,93439,1.9704555040067482,0.0961976583748565,0.15464070730133295
兵庫県,Hyogo-ken,28,241,2020q2,2020,q2,4782,0.6787935301098882,47831,1.7003554923569142,0.11525287381480531,0.13940004324515787
奈良県,Nara-ken,29,241,2020q2,2020,q2,1168,0.8973179762742618,10498,1.5415565345080764,0.05842043983352019,0.12360032235921792
和歌山県,Wakayama-ken,30,241,2020q2,2020,q2,811,0.8714179985615984,8304,1.7157024793388431,0.10426796790433168,0.17442502085196154
鳥取県,Tottori-ken,31,241,2020q2,2020,q2,483,0.31935052246553397,6092,1.9463258785942492,0.05173989133310286,0.043026064966543265
島根県,Shimane-ken,32,241,2020q2,2020,q2,588,-0.7666643181893937,6311,1.7777464788732396,0.07191093510666136,0.1273733691672787
岡山県,Okayama-ken,33,241,2020q2,2020,q2,1648,0.010026396905157942,17342,1.767787971457696,-0.03749121635956287,0.01792508551956873
広島県,Hiroshima-ken,34,241,2020q2,2020,q2,2440,0.07225364529185274,26131,1.754936198791135,0.11099272638198276,0.14873270287408147
山口県,Yamaguchi-ken,35,241,2020q2,2020,q2,1194,0.16238964390684396,11726,1.6799426934097421,0.06409416606051366,0.04489296329155512
徳島県,Tokushima-ken,36,241,2020q2,2020,q2,641,0.2710027100271002,7528,2.040108401084011,0.01571815718157188,0.06132255278596754
香川県,Kagawa-ken,37,241,2020q2,2020,q2,836,0.21152506229976353,9114,1.8083333333333333,0.00774278215223112,0.04047412786744764
愛媛県,Ehime-ken,38,241,2020q2,2020,q2,1173,0.1415146965633134,12695,1.8187679083094557,-0.028206155091120566,0.05441424726612398
高知県,Kochi-ken,39,241,2020q2,2020,q2,616,-0.010639262289775075,7870,2.1212938005390836,-0.14564386883761005,-0.05796388953713194
福岡県,Fukuoka-ken,40,241,2020q2,2020,q2,4434,0.3098926475044532,56435,2.099516369047619,0.08367589196972114,0.11432675966965844
佐賀県,Saga-ken,41,241,2020q2,2020,q2,701,-0.5510087621991877,8760,2,-0.13693045563549155,-0.10503578081925635
長崎県,Nagasaki-ken,42,241,2020q2,2020,q2,1150,-0.006574982226116299,13848,2.004052098408104,-0.07465293756311908,-0.10146783418721661
熊本県,Kumamoto-ken,43,241,2020q2,2020,q2,1508,-2.763665006888516e-5,16758,1.7733333333333334,0.0576387416048072,0.06007918012146418
大分県,Oita-ken,44,241,2020q2,2020,q2,991,0.3418484802054045,11141,1.8384488448844887,0.07609395267885022,0.11158984007603512
宮崎県,Miyazaki-ken,45,241,2020q2,2020,q2,926,0.009044225419533869,12621,2.2377659574468085,0.06725085975586698,0.15700800833115558
鹿児島県,Kagoshima-ken,46,241,2020q2,2020,q2,1382,0.4758773242739869,18684,2.281318681318681,-0.02783882783882774,-0.050509183869402285
沖縄県,Okinawa-ken,47,241,2020q2,2020,q2,1212,1.2269535331248602,18440,2.4851752021563343,0.18029053458509958,0.1276471588165824
